Antandroy	<http://vocab.getty.edu/ulan/500202854>	<http://vocab.getty.edu/aat/300016580>	
Antankarana	<http://vocab.getty.edu/ulan/500202855>	<http://vocab.getty.edu/aat/300262501>	Antakarana; Tankarana
Antanosy	<http://vocab.getty.edu/ulan/500202856>	<http://vocab.getty.edu/aat/300016581>	
Antarctic	<http://vocab.getty.edu/ulan/500202857>	<http://vocab.getty.edu/aat/300385955>	
Antiguan Barbudan	<http://vocab.getty.edu/ulan/500202858>	<http://vocab.getty.edu/aat/300385956>	
Anufo	<http://vocab.getty.edu/ulan/500202859>	<http://vocab.getty.edu/aat/300263153>	Anoufom; Anoufou; Cakosi; Chakosi; Chakossi; Chokosi; Chokossi; Dyakosi; Kyokoshi; Kyokosi; Kyokossi; Mangu; Tchokossi; Tiokossi; Tschokossi; Tshokossi; Tyoko; Tyokosi; Tyokossi
Anuradhapura	<http://vocab.getty.edu/ulan/500202860>	<http://vocab.getty.edu/aat/300019080>	
Anyang (Nigerian)	<http://vocab.getty.edu/ulan/500202861>	<http://vocab.getty.edu/aat/300016074>	Anjang; Banyang; Banyangi; Nyangi
Anyi	<http://vocab.getty.edu/ulan/500202862>	<http://vocab.getty.edu/aat/300016006>	Agni
Aowin	<http://vocab.getty.edu/ulan/500202863>	<http://vocab.getty.edu/aat/300016008>	Brisa
Apalai	<http://vocab.getty.edu/ulan/500294346>	<http://vocab.getty.edu/aat/300017883>	Aparaí
Apennine	<http://vocab.getty.edu/ulan/500202865>	<http://vocab.getty.edu/aat/300107308>	Apennine culture; Apenninic; culture, Apennine; Extra Terramaricolan
Arctic	<http://vocab.getty.edu/ulan/500125289>	<http://vocab.getty.edu/aat/300385959>	
Arenal	<http://vocab.getty.edu/ulan/500202873>	<http://vocab.getty.edu/aat/300017125>	
Arequipa	<http://vocab.getty.edu/ulan/500202874>	<http://vocab.getty.edu/aat/300107836>	
Argentine	<http://vocab.getty.edu/ulan/500125256>	<http://vocab.getty.edu/aat/300107965>	Argentinean; Argentinian; argentin
Argive	<http://vocab.getty.edu/ulan/500202875>	<http://vocab.getty.edu/aat/300385960>	
Armenian Apostolic	<http://vocab.getty.edu/ulan/500355079>	<http://vocab.getty.edu/aat/300385936>	Gregorian Church
Arnhem Land	<http://vocab.getty.edu/ulan/500202878>	<http://vocab.getty.edu/aat/300120040>	Arnhemland
Arua	<http://vocab.getty.edu/ulan/500294347>	<http://vocab.getty.edu/aat/300017884>	
Arunta	<http://vocab.getty.edu/ulan/500202879>	<http://vocab.getty.edu/aat/300021863>	Aranda
Arusha	<http://vocab.getty.edu/ulan/500202880>	<http://vocab.getty.edu/aat/300016503>	
Arusi	<http://vocab.getty.edu/ulan/500202881>	<http://vocab.getty.edu/aat/300100832>	Arssi; Arussi
Arya Samaj	<http://vocab.getty.edu/ulan/500355073>	<http://vocab.getty.edu/aat/300264320>	Ārya Samāj; Society of Aryans; Society of Nobles
Arévalo	<http://vocab.getty.edu/ulan/500202867>	<http://vocab.getty.edu/aat/300017121>	
Asante	<http://vocab.getty.edu/ulan/500202882>	<http://vocab.getty.edu/aat/300016004>	Asanti; Ashanti; Ashantis
Ashluslay	<http://vocab.getty.edu/ulan/500294406>	<http://vocab.getty.edu/aat/300017964>	
Asia Minor	<http://vocab.getty.edu/ulan/500202883>	<http://vocab.getty.edu/aat/300387727>	
Asian	<http://vocab.getty.edu/ulan/500125253>	<http://vocab.getty.edu/aat/300018279>	Oriental (Asian)
Asian-American	<http://vocab.getty.edu/ulan/500202884>	<http://vocab.getty.edu/aat/300385962>	
Assiniboin	<http://vocab.getty.edu/ulan/500202885>	<http://vocab.getty.edu/aat/300103375>	Assiniboine (culture or style); Stoney (culture or style)
Assyrian	<http://vocab.getty.edu/ulan/500202886>	<http://vocab.getty.edu/aat/300019619>	
Assyro-Babylonian	<http://vocab.getty.edu/ulan/500202887>	<http://vocab.getty.edu/aat/300069942>	
Asturian (Medieval)	<http://vocab.getty.edu/ulan/500355198>	<http://vocab.getty.edu/aat/300266484>	
Asturian (Mesolithic)	<http://vocab.getty.edu/ulan/500202888>	<http://vocab.getty.edu/aat/300019323>	
Asuka	<http://vocab.getty.edu/ulan/500202889>	<http://vocab.getty.edu/aat/300018543>	Asuka-akuho; Suika; Suiko
Atabeg	<http://vocab.getty.edu/ulan/500202890>	<http://vocab.getty.edu/aat/300021530>	
Atacameño	<http://vocab.getty.edu/ulan/500202891>	<http://vocab.getty.edu/aat/300017377>	Atacama; Atacaman; Atacamas; Chincha-Atacaman
Atarco	<http://vocab.getty.edu/ulan/500202893>	<http://vocab.getty.edu/aat/300017301>	
Athenian	<http://vocab.getty.edu/ulan/500202895>	<http://vocab.getty.edu/aat/300385964>	
Atsahuaca	<http://vocab.getty.edu/ulan/500294377>	<http://vocab.getty.edu/aat/300017920>	Atsuahuaca
Attie	<http://vocab.getty.edu/ulan/500202898>	<http://vocab.getty.edu/aat/300015989>	Akye (Lagoon people); Atie
Aua	<http://vocab.getty.edu/ulan/500202899>	<http://vocab.getty.edu/aat/300021934>	Aua Island; Dourour; Durour
Augustinian	<http://vocab.getty.edu/ulan/500355076>	<http://vocab.getty.edu/aat/300255068>	Augustinians; Order of Hermits of St. Augustine; Augustinan Friars; Austin Friars; Order of the Hermit Friars of Saint Augustine; OSA (Christian order); Order of St Augustine; Augustinian Hermits; O.S.A. (Christian order); Order of St. Augustine
Aurora	<http://vocab.getty.edu/ulan/500202900>	<http://vocab.getty.edu/aat/300017127>	
Ausonian	<http://vocab.getty.edu/ulan/500202902>	<http://vocab.getty.edu/aat/300107311>	
Austral Islands	<http://vocab.getty.edu/ulan/500202903>	<http://vocab.getty.edu/aat/300021975>	Austral Island; Tubuai Island
Australian	<http://vocab.getty.edu/ulan/500202904>	<http://vocab.getty.edu/aat/300021861>	Australia; australien
Australian Aboriginal	<http://vocab.getty.edu/ulan/500202905>	<http://vocab.getty.edu/aat/300021862>	Aboriginal, Australian; Aboriginal
Austrian	<http://vocab.getty.edu/ulan/500125217>	<http://vocab.getty.edu/aat/300111153>	autrichien
Austro-Hungarian	<http://vocab.getty.edu/ulan/500202906>	<http://vocab.getty.edu/aat/300385965>	
Avikam	<http://vocab.getty.edu/ulan/500202907>	<http://vocab.getty.edu/aat/300262858>	Avekom; Avikom; Brignam; Brignan; Brinya; Gbanda; Kwakwa; Lahu (culture or style)
