Kusu (Luba)	<http://vocab.getty.edu/ulan/500203604>
Kuwaa	<http://vocab.getty.edu/ulan/500203608>
Kwa	<http://vocab.getty.edu/ulan/500203611>
Kwakiutl	<http://vocab.getty.edu/ulan/500203612>
Kwango-Kwilu	<http://vocab.getty.edu/ulan/500203614>
Kwele (Upper Sangha River)	<http://vocab.getty.edu/ulan/500203615>
Kyrgyz	<http://vocab.getty.edu/ulan/500203619>
Körös	<http://vocab.getty.edu/ulan/500203503>
Lacandón	<http://vocab.getty.edu/ulan/500203623>
Laconian	<http://vocab.getty.edu/ulan/500203624>
Lagoon (African)	<http://vocab.getty.edu/ulan/500203626>
Laguna Pueblo	<http://vocab.getty.edu/ulan/500203628>
Lake (Native American)	<http://vocab.getty.edu/ulan/500203631>
Lake Chad (African)	<http://vocab.getty.edu/ulan/500203632>
Lakota	<http://vocab.getty.edu/ulan/500203633>
Lamba (Southern African)	<http://vocab.getty.edu/ulan/500203635>
Lamba (West African)	<http://vocab.getty.edu/ulan/500129694>
Languedocian	<http://vocab.getty.edu/ulan/500203638>
Late Cypriot	<http://vocab.getty.edu/ulan/500203644>
Late period (Egyptian)	<http://vocab.getty.edu/ulan/500203648>
Latini (ancient Latin)	<http://vocab.getty.edu/ulan/500355206>
Latino (Latina)	<http://vocab.getty.edu/ulan/500203651>
Latvian	<http://vocab.getty.edu/ulan/500203652>
Lela	<http://vocab.getty.edu/ulan/500203657>
Lele (Lake Chad)	<http://vocab.getty.edu/ulan/500203659>
Lengola	<http://vocab.getty.edu/ulan/500203662>
Levantine	<http://vocab.getty.edu/ulan/500203667>
Liberian	<http://vocab.getty.edu/ulan/500203669>
Ligurian	<http://vocab.getty.edu/ulan/500203674>
Lillooet	<http://vocab.getty.edu/ulan/500203675>
Limba (African)	<http://vocab.getty.edu/ulan/500203676>
Lithuanian	<http://vocab.getty.edu/ulan/500203679>
Livonian	<http://vocab.getty.edu/ulan/500203680>
Loma	<http://vocab.getty.edu/ulan/500203683>
Lombard	<http://vocab.getty.edu/ulan/500203684>
Lozi	<http://vocab.getty.edu/ulan/500203691>
Luba	<http://vocab.getty.edu/ulan/500203692>
Lucchese	<http://vocab.getty.edu/ulan/500203693>
Luiseño	<http://vocab.getty.edu/ulan/500203696>
Lumbee	<http://vocab.getty.edu/ulan/500203698>
Lumbu	<http://vocab.getty.edu/ulan/500203699>
Lunda	<http://vocab.getty.edu/ulan/500203701>
Lungu	<http://vocab.getty.edu/ulan/500203703>
Luxembourgeois	<http://vocab.getty.edu/ulan/500203704>
Maasai	<http://vocab.getty.edu/ulan/500203709>
Macanese	<http://vocab.getty.edu/ulan/500203710>
Macedonian (modern)	<http://vocab.getty.edu/ulan/500203711>
Mahayana Buddhist	<http://vocab.getty.edu/ulan/500355137>
Maidu	<http://vocab.getty.edu/ulan/500203722>
Makah	<http://vocab.getty.edu/ulan/500203725>
Malagasy	<http://vocab.getty.edu/ulan/500203726>
Malaita	<http://vocab.getty.edu/ulan/500203727>
Maldivian	<http://vocab.getty.edu/ulan/500203731>
Malekula	<http://vocab.getty.edu/ulan/500203733>
Mallorcan	<http://vocab.getty.edu/ulan/500203737>
Maltese	<http://vocab.getty.edu/ulan/500203738>
