<http://vocab.getty.edu/ulan/500202932>	Balinese
<http://vocab.getty.edu/ulan/500355563>	Balkan
<http://vocab.getty.edu/ulan/500202933>	Bamana
<http://vocab.getty.edu/ulan/500202934>	Bamileke
<http://vocab.getty.edu/ulan/500202935>	Banda
<http://vocab.getty.edu/ulan/500202936>	Banen
<http://vocab.getty.edu/ulan/500202937>	Bangi
<http://vocab.getty.edu/ulan/500202938>	Bangladeshi
<http://vocab.getty.edu/ulan/500202939>	Bangubangu
<http://vocab.getty.edu/ulan/500202940>	Banks Islands
<http://vocab.getty.edu/ulan/500202941>	Bannock
<http://vocab.getty.edu/ulan/500202942>	Bantu
<http://vocab.getty.edu/ulan/500202943>	Banyun
<http://vocab.getty.edu/ulan/500202944>	Banziri
<http://vocab.getty.edu/ulan/500355078>	Baptist
<http://vocab.getty.edu/ulan/500202945>	Bara
<http://vocab.getty.edu/ulan/500202946>	Barambo
<http://vocab.getty.edu/ulan/500294423>	Barbacoa
<http://vocab.getty.edu/ulan/500202947>	Barbadian
<http://vocab.getty.edu/ulan/500202948>	Bargu
<http://vocab.getty.edu/ulan/500202949>	Barreales
<http://vocab.getty.edu/ulan/500202950>	Basa (Nigerian)
<http://vocab.getty.edu/ulan/500202951>	Basari (Gur)
<http://vocab.getty.edu/ulan/500355080>	Basilian
<http://vocab.getty.edu/ulan/500202952>	Basotho (Lesothan)
<http://vocab.getty.edu/ulan/500202953>	Basque
<http://vocab.getty.edu/ulan/500202954>	Bassa (Cameroonian)
<http://vocab.getty.edu/ulan/500202955>	Bassa (Liberian)
<http://vocab.getty.edu/ulan/500202956>	Bassari (Tenda)
<http://vocab.getty.edu/ulan/500202957>	Basua
<http://vocab.getty.edu/ulan/500202958>	Bata
<http://vocab.getty.edu/ulan/500202959>	Batavian
<http://vocab.getty.edu/ulan/500202960>	Batswana
<http://vocab.getty.edu/ulan/500202961>	Baulé
<http://vocab.getty.edu/ulan/500125284>	Bavarian
<http://vocab.getty.edu/ulan/500202962>	Beaver
<http://vocab.getty.edu/ulan/500202963>	Bedik
<http://vocab.getty.edu/ulan/500202964>	Bedouin
<http://vocab.getty.edu/ulan/500202965>	Beja
<http://vocab.getty.edu/ulan/500355081>	Bektashi
<http://vocab.getty.edu/ulan/500125218>	Belgian
<http://vocab.getty.edu/ulan/500355487>	Belgic
<http://vocab.getty.edu/ulan/500202966>	Belizean
<http://vocab.getty.edu/ulan/500202967>	Bella Bella
<http://vocab.getty.edu/ulan/500202968>	Bella Coola
