y	c
http://dbpedia.org/resource/Northern_Landscape_style	4
http://dbpedia.org/resource/Native_pop	4
http://dbpedia.org/resource/Modernist_poetry_in_English	4
http://dbpedia.org/resource/Thuluth	4
http://dbpedia.org/resource/Graffiti	4
http://dbpedia.org/resource/Manga	4
http://dbpedia.org/resource/Punk_rock	4
http://dbpedia.org/resource/New_Sculpture	4
http://dbpedia.org/resource/Genre	4
http://dbpedia.org/resource/Satire	4
http://dbpedia.org/resource/Stream_of_consciousness_(narrative_mode)	4
http://dbpedia.org/resource/Expressionist_dance	4
http://dbpedia.org/resource/Beaux-Arts_architecture	4
http://dbpedia.org/resource/Early_Netherlandish_painting	4
http://dbpedia.org/resource/Portrait_painting	4
http://dbpedia.org/resource/San_Francisco_Renaissance	4
http://dbpedia.org/resource/Theatrical_realism	4
http://dbpedia.org/resource/Transgressive_fiction	4
http://dbpedia.org/resource/Northern_Renaissance	4
http://dbpedia.org/resource/Post-postmodernism	4
http://dbpedia.org/resource/Washington_Color_School	4
http://dbpedia.org/resource/Irish_Literary_Revival	4
http://dbpedia.org/resource/Glasgow_School	4
http://dbpedia.org/resource/Russian_Futurism	4
http://dbpedia.org/resource/Language_poets	4
http://dbpedia.org/resource/Viennese_Actionism	4
http://dbpedia.org/resource/Portuguese_Renaissance	4
http://dbpedia.org/resource/Contemporary_realism	4
http://dbpedia.org/resource/Acmeist_poetry	4
http://dbpedia.org/resource/Ballet	4
http://dbpedia.org/resource/Gothic_architecture	4
http://dbpedia.org/resource/Vorticism	4
http://dbpedia.org/resource/Cyberpunk	4
http://dbpedia.org/resource/Psychedelic_art	4
http://dbpedia.org/resource/Sculpture	4
http://dbpedia.org/resource/Abstract_impressionism	4
http://dbpedia.org/resource/Pictorialism	4
http://dbpedia.org/resource/Celtic_Revival	4
http://dbpedia.org/resource/Zero_(art)	4
http://dbpedia.org/resource/Plastic_arts	4
http://dbpedia.org/resource/Young_Poland	4
http://dbpedia.org/resource/Postcolonialism	4
http://dbpedia.org/resource/Collage	4
http://dbpedia.org/resource/Munich_School	4
http://dbpedia.org/resource/Flemish_Baroque_painting	4
